horse_id,horse_name,sire,sire_id,sire_sire,sire_dam
2012100683,マイネルプロンプト,マツリダゴッホ,2003104570,サンデーサイレンスSunday Silence(米),Halo
2013101904,マイネルヴァッサー,ステイゴールド,1994108729,サンデーサイレンスSunday Silence(米),Halo
2014100566,ヤマニンバンタジオ,ヴィクトワールピサ,2007102923,ネオユニヴァース,サンデーサイレンスSunday Silence(米)
2014101586,シャイニーゲール,キングカメハメハ,2001103460,Kingmambo(米),Mr. Prospector
2014102562,アーバンイェーガー,エンパイアメーカーEmpire Maker(米),000a010542,Unbridled,Fappiano(米)
2014102625,ダイメイフジ,アグネスデジタル,1997110025,Crafty Prospector,Mr. Prospector
2014103040,エイシンクリック,ルーラーシップ,2007103143,キングカメハメハ,Kingmambo(米)
2014103514,パワフルヒロコ,メイショウボーラー,2001100650,タイキシャトル,Devil's Bag
2014103896,メイショウハチク,マンハッタンカフェ,1998101554,サンデーサイレンスSunday Silence(米),Halo
2014103963,ヨドノビクトリー,クロフネ,1998110135,フレンチデピュティFrench Deputy(米),Deputy Minister
2014104716,アッティーヴォ,フリオーソ,2004106867,ブライアンズタイムBrian's Time(米),Roberto
2014106286,デストロイ,キングヘイロー,1995104427,ダンシングブレーヴDancing Brave(米),Lyphard
2014109137,コウユーヌレエフ,ロージズインメイRoses in May(米),000a010a10,Devil His Due,Devil's Bag
2015100274,ヴィジョンオブラヴ,キングヘイロー,1995104427,ダンシングブレーヴDancing Brave(米),Lyphard
2015100744,マイネルファンロン,ステイゴールド,1994108729,サンデーサイレンスSunday Silence(米),Halo
2015100822,タイセイアベニール,ベーカバドBehkabad(仏),000a011dc0,Cape Cross,Green Desert
2015101447,クリノフラッシュ,エイシンフラッシュ,2007102951,キングズベストKing's Best(米),Kingmambo(米)
2015101654,アフリカンゴールド,ステイゴールド,1994108729,サンデーサイレンスSunday Silence(米),Halo
2015102127,スズカノロッソ,モンテロッソMonterosso(英),000a011b05,Dubawi,Dubai Millennium(英)
2015103109,メイショウミライ,サウスヴィグラス,1996110138,エンドスウィープEnd Sweep(米),フォーティナイナーForty Niner(米)
2015103217,アルドーレ,オルフェーヴル,2008102636,ステイゴールド,サンデーサイレンスSunday Silence(米)
2015103340,メイショウキョウジ,ダイワメジャー,2001103114,サンデーサイレンスSunday Silence(米),Halo
2015103357,メイショウドウドウ,ヴィクトワールピサ,2007102923,ネオユニヴァース,サンデーサイレンスSunday Silence(米)
2015103616,メイショウオーパス,メイショウボーラー,2001100650,タイキシャトル,Devil's Bag
2015103867,ウメタロウ,プリサイスエンドPrecise End(米),000a00fe9b,エンドスウィープEnd Sweep(米),フォーティナイナーForty Niner(米)
2015104186,ゼーゲン,ディープインパクト,2002100816,サンデーサイレンスSunday Silence(米),Halo
2015104364,トゥラヴェスーラ,ドリームジャーニー,2004102753,ステイゴールド,サンデーサイレンスSunday Silence(米)
2015104367,ジャディード,シンボリクリスエス,1999110099,Kris S.,Roberto
2015104512,スヴァルナ,ステイゴールド,1994108729,サンデーサイレンスSunday Silence(米),Halo
2015104582,ケイティクレバー,ハービンジャーHarbinger(英),000a011996,Dansili,デインヒルDanehill(米)
2015104589,マサハヤニース,ワークフォースWorkforce(英),000a011a7f,キングズベストKing's Best(米),Kingmambo(米)
2015104675,アンブロジオ,ローズキングダム,2007103404,キングカメハメハ,Kingmambo(米)
2015104699,フレッチア,Dansili,000a010a5f,デインヒルDanehill(米),Danzig
2015104707,グレンガリー,ハービンジャーHarbinger(英),000a011996,Dansili,デインヒルDanehill(米)
