race_id,detail_text,distance,surface,track_condition,weather,date_text,course_code,course_name,race_number,date
202406010101,"ダ右1200m / 
天候 : 晴 / 
ダート : 良  / 
発走 : 10:05",1200,ダート,良,晴,"ダ右1200m / 
天候 : 晴 / 
ダート : 良  / 
発走 : 10:05",6,中山,1,20240106.0
202406010102,"ダ右1800m / 
天候 : 晴 / 
ダート : 良  / 
発走 : 10:35",1800,ダート,良,晴,"ダ右1800m / 
天候 : 晴 / 
ダート : 良  / 
発走 : 10:35",6,中山,2,20240106.0
202406010103,"ダ右1200m / 
天候 : 晴 / 
ダート : 良  / 
発走 : 11:05",1200,ダート,良,晴,"ダ右1200m / 
天候 : 晴 / 
ダート : 良  / 
発走 : 11:05",6,中山,3,20240106.0
202406010104,"ダ右1800m / 
天候 : 晴 / 
ダート : 良  / 
発走 : 11:35",1800,ダート,良,晴,"ダ右1800m / 
天候 : 晴 / 
ダート : 良  / 
発走 : 11:35",6,中山,4,20240106.0
202406010105,"芝右2000m / 
天候 : 晴 / 
芝 : 良  / 
発走 : 12:25",2000,芝,良,晴,"芝右2000m / 
天候 : 晴 / 
芝 : 良  / 
発走 : 12:25",6,中山,5,20240106.0
202406010106,"ダ右2400m / 
天候 : 晴 / 
ダート : 良  / 
発走 : 12:55",2400,ダート,良,晴,"ダ右2400m / 
天候 : 晴 / 
ダート : 良  / 
発走 : 12:55",6,中山,6,20240106.0
202406010107,"芝右 外1200m / 
天候 : 晴 / 
芝 : 良  / 
発走 : 13:25",1200,芝,良,晴,"芝右 外1200m / 
天候 : 晴 / 
芝 : 良  / 
発走 : 13:25",6,中山,7,20240106.0
202406010108,"ダ右1800m / 
天候 : 晴 / 
ダート : 良  / 
発走 : 14:00",1800,ダート,良,晴,"ダ右1800m / 
天候 : 晴 / 
ダート : 良  / 
発走 : 14:00",6,中山,8,20240106.0
202406010109,"芝右 外2200m / 
天候 : 晴 / 
芝 : 良  / 
発走 : 14:35",2200,芝,良,晴,"芝右 外2200m / 
天候 : 晴 / 
芝 : 良  / 
発走 : 14:35過去の迎春ステークス",6,中山,9,20240106.0
202406010110,"芝右 外1600m / 
天候 : 晴 / 
芝 : 良  / 
発走 : 15:10",1600,芝,良,晴,"芝右 外1600m / 
天候 : 晴 / 
芝 : 良  / 
発走 : 15:10過去のジュニアカップ",6,中山,10,20240106.0
202406010111,"芝右2000m / 
天候 : 晴 / 
芝 : 良  / 
発走 : 15:45",2000,芝,良,晴,"芝右2000m / 
天候 : 晴 / 
芝 : 良  / 
発走 : 15:45過去の日刊スポ賞中山金杯日刊スポ賞中山金杯特集",6,中山,11,20240106.0
202406010112,"ダ右1800m / 
天候 : 晴 / 
ダート : 良  / 
発走 : 16:25",1800,ダート,良,晴,"ダ右1800m / 
天候 : 晴 / 
ダート : 良  / 
発走 : 16:25",6,中山,12,20240106.0
202408010101,"ダ右1800m / 
天候 : 晴 / 
ダート : 良  / 
発走 : 09:50",1800,ダート,良,晴,"ダ右1800m / 
天候 : 晴 / 
ダート : 良  / 
発走 : 09:50",8,京都,1,20240106.0
